Original Word,After Doubled Letter Removal
cest,cset
sits,stis
diaries,dairies
spite,stipe
crashes,chasers
byron,bryon
critic,citric
cobra,corba
gals,glas
atoms,atmos
pirate,partie,priate
bowls,blows
rises,reiss
sourcing,scouring
fairs,faris,frais
inst,isnt
singers,signers
stripe,sprite
cigar,cgiar
erie,eire
curse,cruse
portals,patrols
moines,monies
slate,stale
scouts,scotus
stakes,skates,steaks
clare,carle
bolts,blots
sang,snag
sata,staa
traps,tarps
torn,tron
bark,brak
listener,leinster
aires,aries
baron,broan
noah,naoh
daniels,denials
macros,marcos
dues,deus
pres,pers
fibers,fibres
throne,thorne
fiat,fait
toons,tonos
eternity,entirety
bart,brat
poses,pesos
akron,arkon
sung,snug
charters,chartres
burnt,brunt
robbins,ribbons
spicy,scipy
sheila,shelia
dion,doin
lien,lein
macs,mcas
cohort,chroot
soho,shoo
cutlery,cruelty
unisex,usenix
unrelated,unaltered
pans,pnas
lesions,lioness
patron,parton
mates,meats
restoring,resorting
cary,cray
flea,fela
pals,plas
brendan,branden
carte,crate
readme,remade
enquire,enrique
mains,minas
chasing,cashing
cues,ceus
colt,clot
converse,conserve
hier,heir
porto,proto
snakes,sneaks
mirage,margie
fiberglass,fibreglass
vail,vial
viola,voila
gateways,getaways
carving,craving
bert,bret
cmos,coms
ropes,repos
commentaries,commentaires
slept,spelt
timers,timres
painters,pertains
branson,brosnan
brit,birt
prac,parc
veins,vines
badger,bagder
fread,fared
ribs,rbis
kristen,kirsten,kerstin
fled,feld
wears,wares
chickens,checkins
levin,liven
burt,brut
goats,gatos
tort,trot
polite,pilote
salts,slats
steroid,storied
colts,clots
hates,heats
stair,sitar
theres,threes
yates,yeats
cavalry,calvary
veil,viel
tres,ters
apis,aips
pedals,pleads
jonas,janos
densities,destinies
adler,alder
finely,finley
altering,alerting
anders,andres
fern,fren
reits,rites
wien,wein
hires,heirs
complies,compiles
berlios,boilers
persist,pressit
liar,lair
greet,geert
litres,liters
pulses,pluses
blower,bowler
bern,bren
sont,snot
physiopathology,pathophysiology
hears,hares
carbs,crabs
tracey,treacy
savior,savoir
baht,bhat
piles,plies
resistor,rossiter
spans,snaps
steals,slates
openid,opined
tran,tarn
barking,braking
dread,dared
stab,satb
slater,salter
tetris,titres,titers
fined,fiend
bien,bein
sails,silas
latinos,lations
binutils,builtins
haley,healy
breads,beards
mpaa,mapa
bengals,bangles
patel,petal
matic,mitac
callers,cellars
mater,metar
cranes,carnes
contours,croutons
kiln,klin
drains,dinars
fuss,fsus
snes,sens
morally,mallory
siebel,seibel
stitching,stichting
baird,braid
slit,silt
spins,snips
riaa,raia
lacoste,lactose
sourced,scoured
infarction,infraction
cavern,craven
thirst,tshirt
duet,deut
verdana,veranda
glider,gilder
wary,wray
isla,ilsa
derives,devries
combos,coombs
jain,jian
strut,sturt
sues,seus
reversing,reserving
slated,salted
maids,midas
pref,perf
airs,aris
resent,resnet
donnie,dionne
perm,prem
karin,kiran
pharaoh,pharoah
carly,clary
deans,danes
crave,carve
mein,mien
crore,corre
lures,leurs
inset,inest
marta,matra
lcds,ldcs
elise,elsie
pleas,pales
trad,tard
agro,argo
cours,corus
kroner,korner
castillo,callisto
sheen,sehen
specter,scepter
sligo,siglo
coasts,costas
toners,tenors
niles,niels
lander,ladner
pliers,perils
saliva,salvia
melton,molten
patsy,pasty
piers,preis,pires
bain,bian
sunos,sonus
goblin,globin
burnaby,banbury
centerville,centreville
aire,arie
fart,frat
reeds,redes
merton,morten
garter,grater
chased,cashed
skaters,streaks
forester,foerster
rein,rien
weiner,wiener
kristy,kirsty
hereto,hetero
romana,ramona
sandler,slander
ayers,ayres
valera,varela
wenger,wegner
crohn,chron
loire,lorie
firth,frith
crates,caters,cartes
coders,cordes
koran,karon
cassie,caisse
trois,trios
climates,clematis
spectre,sceptre
primes,permis
sault,salut
shih,sihh
mantis,maints
arco,acro
carvings,cravings
bulge,bugle
blasen,beslan
alternet,alertnet
dearly,delray,darley
greats,grates
bearded,breaded
blowers,bowlers
fielder,fiedler
sorta,stora
liang,laing
nema,nmea
torment,tremont
etsi,esti
canes,cenas
skool,sokol
crease,cesare
eide,edie
thrones,thorens
piled,plied
conserving,conversing
andere,andree
livres,livers
mites,metis
choo,coho
lian,lain
carer,crear
mares,mears
keats,kates
huston,hutson
plame,palme
soften,sefton
calico,calcio
corral,carrol
forested,fostered
heresy,hersey
falk,flak
jeannie,jeanine
discos,docsis
clams,calms
reis,ries
groton,gorton
pietro,prieto
cleary,carley
alesis,aisles
vials,vilas
jornada,jordana
kiel,keil
dias,dais
iata,itaa
bottling,blotting
rushes,rhesus
sabres,sabers
wham,wahm
barm,bram
bowles,bowels
bales,beals
dfes,defs
filer,flier
irina,inria
feats,fates
cairn,crain
galen,glean
titre,trite
blige,bilge
landis,lindas
todas,toads
tern,tren
heals,hales
wiseman,weisman
reared,reread
centimeters,centimetres
prado,pardo
ziegler,zeigler
portege,protege
mbas,mabs
gliders,girdles
wieder,weider
truely,turley
ardent,arendt
tilting,titling
spacers,scrapes
geol,goel
juanita,juniata
gilded,glided
whelan,whalen
lowes,loews
meas,maes
mutiny,munity
brac,barc
retires,retries
khoa,koha
uncredited,undirected
fuchsia,fuschia
seashore,seahorse
mohan,mahon
tian,tain
blisters,bristles
plotters,portlets
nickels,nickles
cordial,cardiol
pram,parm
perc,prec
terme,treme
clas,cals
nagy,ngay
modena,moneda
katana,kanata
anima,amina
sehr,sher
haworth,howarth
forme,frome
clos,cols
spines,snipes
beggar,bagger
baise,basie
snooper,spooner
goran,groan
dares,dears
mcat,mact
maidens,medians
sturm,strum
pias,pais
fliers,filers
artnet,arnett
cedars,cadres
sheeting,seething
tien,tein
aitken,aktien
dios,dois
braden,barden
friars,farris
creston,corsten
patina,pinata
kohn,khon
craters,carters
ronaldo,rolando
larue,laure
ciel,ceil
creeps,crepes
gnat,gant
availablity,availabilty
pert,pret
arpa,apra
frac,farc
moans,manos
gere,gree
moins,minos
vere,vree
preamps,pampers
sdio,sido
worx,wrox
wardens,wanders
miki,mkii
glues,gules
blaise,basile
platz,paltz
dbus,dubs
dian,dain
straus,sutras
milder,midler
rtos,rots
avent,avnet
neilson,nielson
mrnas,mnras
rinehart,reinhart
perk,prek
rimes,reims
cobbler,clobber
pent,pnet
worldpay,wordplay
garber,graber
deutsches,deschutes
fois,fios
kiley,kiely
rani,rnai
cpap,capp
ards,adrs
agarwal,agrawal
mcad,macd
fete,ftee
presente,pretense
vitreous,voitures
tarmac,tamrac
dods,ddos
saml,smal
crud,curd
sian,sain
sats,stas
amines,amiens,animes
creat,caret
catagories,categorias
tdma,tmda
cerf,cref
mellor,moller
saleh,selah
tiresome,timorese
valery,varley
niven,nevin
luminaries,luminaires
megane,menage
brats,barts
widener,weidner
widens,widnes
murata,matura
wither,whiter
hazelton,hazleton
brads,bards
aime,amie
enos,eons
manoa,moana
carnivorous,coronavirus
greig,grieg
nits,ntis
singin,signin
atco,acto
simile,smilie
matron,marton
maldive,midvale
cuss,csus
craniata,catarina
whol,wohl
defiantly,definatly
freda,fedra
vireo,verio
dien,dein
sortie,storie
meltzer,metzler
cels,cles
usta,utsa
seabirds,sidebars
cela,clea
quarto,quatro
nitrox,notrix
greiner,grenier
chir,cihr
stasis,sistas
muang,maung
corman,camron
cravers,carvers
cran,carn
haveing,heaving
enlarger,erlanger
kristie,kirstie
melina,milena
adelman,almaden
caledon,celadon
miao,maio
weiland,wieland
clamor,colmar
gutsy,gusty
dimers,dermis
siebert,seibert
enlace,elance
